,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration
0,texas,fosr,0,4,2,0.5282608695652175,0.02887296994066782,45.950522899627686
0,texas,fosr,0,4,2,0.532608695652174,0.02964822108040404,50.6072940826416
0,texas,fosr,0,4,2,0.5239130434782608,0.036609625104384154,47.90861225128174
0,texas,fosr,0,4,2,0.5456521739130435,0.04279904244286857,47.85345983505249
0,texas,fosr,0,4,2,0.5413043478260869,0.01787374329660388,47.268247842788696
0,texas,fosr,0,4,2,0.5173913043478262,0.03927509492395206,52.410513162612915
0,texas,fosr,0,4,2,0.5521739130434782,0.025500657910635112,49.71679973602295
0,texas,fosr,0,4,2,0.5521739130434782,0.028310992341042975,48.499568462371826
0,texas,fosr,0,4,2,0.5391304347826086,0.042953353166012065,47.58993983268738
0,texas,fosr,0,4,2,0.5391304347826086,0.02520239434119903,43.81450700759888
0,texas,fosr,0,4,2,0.5369565217391303,0.0348097720021706,46.755746364593506
0,texas,fosr,0,4,2,0.5478260869565218,0.03412420325278015,47.43728709220886
0,texas,fosr,0,4,2,0.5608695652173912,0.03183131342212719,46.84773850440979
0,texas,fosr,0,4,2,0.5543478260869565,0.03209744143529001,47.278560638427734
0,texas,fosr,0,4,2,0.5478260869565217,0.025202394341199034,49.58696627616882
0,texas,fosr,0,4,2,0.5369565217391303,0.03015398414678209,46.17068576812744
0,texas,fosr,0,4,2,0.5434782608695652,0.03135261978664339,47.53193807601929
0,texas,fosr,0,4,2,0.5239130434782607,0.03556192182031049,47.350608348846436
0,texas,fosr,0,4,2,0.5391304347826087,0.03975349374143465,46.40999126434326
0,texas,fosr,0,4,2,0.558695652173913,0.03480977200217061,47.55913782119751
0,texas,fosr,0,4,2,0.5369565217391304,0.0301539841467821,48.15343356132507
0,texas,fosr,0,4,2,0.5369565217391304,0.04080939140959066,50.593597173690796
0,texas,fosr,0,4,2,0.5695652173913043,0.03730019232961255,48.48868203163147
0,texas,fosr,0,4,2,0.5869565217391306,0.021299910806810252,48.97542142868042
0,texas,fosr,0,4,2,0.5543478260869564,0.0240116543851897,46.849576234817505
0,texas,fosr,0,4,2,0.5521739130434783,0.03265214496611929,51.40446853637695
0,texas,fosr,0,4,2,0.5130434782608696,0.03434507418805478,47.74980115890503
0,texas,fosr,0,4,2,0.5152173913043478,0.03587944527961349,47.126213788986206
0,texas,fosr,0,4,2,0.5282608695652173,0.043063236571876114,44.00083088874817
0,texas,fosr,0,4,2,0.5760869565217391,0.04181605230798119,49.35232591629028
0,texas,fosr,0,4,2,0.532608695652174,0.03702040514331826,47.19267773628235
0,texas,fosr,0,4,2,0.5347826086956522,0.023972258699287347,53.64649152755737
0,texas,fosr,0,4,2,0.5521739130434782,0.03898523786340852,48.3244149684906
0,texas,fosr,0,4,2,0.541304347826087,0.027117332399152483,49.705114126205444
